MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,StatAccuracy,StatAgility,StatHP,StatMP,StatAttackSpeed,StatLuck,StatBagWeight,StatHandWeight,StatWearWeight,StatReflect,StatStrong,StatHoly,StatFreezing,StatPoisonAttack,StatMagicResist,StatPoisonResist,StatHealthRecovery,StatSpellRecovery,StatPoisonRecovery,StatCriticalRate,StatCriticalDamage,StatMaxACRatePercent,StatMaxMACRatePercent,StatMaxDCRatePercent,StatMaxMCRatePercent,StatMaxSCRatePercent,StatAttackSpeedRatePercent,StatHPRatePercent,StatMPRatePercent,StatHPDrainRatePercent,StatExpRatePercent,StatItemDropRatePercent,StatGoldDropRatePercent,StatMineRatePercent,StatGemRatePercent,StatFishRatePercent,StatCraftRatePercent,StatSkillGainMultiplier,StatAttackBonus,StatLoverExpRatePercent,StatMentorDamageRatePercent,StatMentorExpRatePercent,StatDamageReductionPercent,StatEnergyShieldPercent,StatEnergyShieldHPGain,StatManaPenaltyPercent,StatTeleportManaPenaltyPercent,StatHero,
巨型多角虫2,GiantKeratoid,0,0,50,5,2000,800,7,0,10,False,True,False,False,,15,15,10,10,0,40,0,0,0,0,15,20,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山洞蝙蝠,CaveBat,0,0,20,0,2500,1200,7,0,34,True,True,False,True,,2,2,0,0,4,6,0,0,0,0,11,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山洞蝙蝠0,CaveBat,0,0,20,0,2500,1200,7,0,34,True,True,False,True,,2,2,0,0,4,6,0,0,0,0,11,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
洞蛆,CaveMaggot,7,0,21,0,2500,1000,7,0,122,True,True,False,True,,0,0,0,0,6,8,0,0,0,0,12,12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蝎子,Scorpion,9,0,18,0,2500,1200,7,0,85,True,True,False,True,,2,2,0,0,7,16,0,0,0,0,10,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅,Skeleton,0,0,18,0,2500,1500,7,0,140,True,True,False,False,,0,0,0,0,7,10,0,0,0,0,11,13,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅0,Skeleton,0,0,18,0,2500,1500,7,0,140,True,True,False,False,,0,0,0,0,7,10,0,0,0,0,11,13,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
掷斧骷髅,AxeSkeleton,8,0,18,0,2500,1500,7,0,140,True,True,False,False,,0,0,0,0,4,9,0,0,0,0,15,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
掷斧骷髅0,AxeSkeleton,8,0,18,0,2500,1500,7,0,140,True,True,False,False,,0,0,0,0,4,9,0,0,0,0,15,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
掷斧骷髅9,AxeSkeleton,8,0,18,0,2500,1500,7,0,140,True,True,False,False,,0,0,0,0,4,9,0,0,0,0,15,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战士,BoneFighter,0,0,19,0,2500,1800,7,0,150,True,True,False,False,,0,0,0,0,2,15,0,0,0,0,11,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战士0,BoneFighter,0,0,19,0,2500,1800,7,0,150,True,True,False,False,,0,0,0,0,2,15,0,0,0,0,11,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战将,BoneWarrior,0,0,20,0,2300,1200,7,0,160,True,True,False,False,,2,2,1,1,7,13,0,0,0,0,12,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战将0,BoneWarrior,0,0,20,0,2300,1200,7,0,160,True,True,False,False,,2,2,1,1,7,13,0,0,0,0,12,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅精灵,BoneElite,0,0,50,10,2000,1200,7,0,960,True,True,False,False,,5,5,4,4,7,24,0,0,0,0,14,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅精灵1,BoneElite,0,0,50,10,2000,600,7,0,100,True,True,False,False,,0,0,100,100,0,60,0,0,0,0,20,17,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅精灵2,BoneElite,0,0,50,10,2000,600,7,0,10,True,True,False,False,,25,25,5,5,0,40,0,0,0,0,20,17,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅精灵9,BoneElite,0,0,50,10,2000,1200,7,0,960,True,True,False,False,,5,5,4,4,7,24,0,0,0,0,14,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古掷斧骷髅,AxeSkeleton,0,0,18,0,2500,1200,7,0,1450,True,True,False,False,,0,0,0,0,17,36,0,0,0,0,15,12,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古掷斧骷髅0,AxeSkeleton,0,0,18,0,2500,1200,7,0,1450,True,True,False,False,,0,0,0,0,17,36,0,0,0,0,15,12,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅,Skeleton,0,0,18,0,2500,1500,7,0,1450,True,True,False,False,,0,0,0,0,17,35,0,0,0,0,15,12,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅0,Skeleton,0,0,18,0,2500,1500,7,0,1450,True,True,False,False,,0,0,0,0,17,35,0,0,0,0,15,12,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅战士,BoneFighter,0,0,19,0,2500,1500,7,0,1500,True,True,False,False,,0,0,0,0,18,37,0,0,0,0,11,13,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅战士0,BoneFighter,0,0,19,0,2500,1500,7,0,1500,True,True,False,False,,0,0,0,0,18,37,0,0,0,0,11,13,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅战将,BoneWarrior,0,0,20,0,2300,1200,7,0,1550,True,True,False,False,,2,2,1,1,18,38,0,0,0,0,12,15,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅战将0,BoneWarrior,0,0,20,0,2300,1200,7,0,1550,True,True,False,False,,2,2,1,1,18,38,0,0,0,0,12,15,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
远古骷髅精灵,BoneElite,0,0,50,0,2000,1200,100,0,2205,True,True,False,False,,5,5,4,4,22,44,0,0,0,0,14,15,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
剧毒骷髅,BoneWhoo,0,0,50,5,2000,1200,100,0,6000,True,True,False,False,,15,15,11,11,35,70,0,0,0,0,9,10,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
萨满僵尸1,ShamanZombie,26,0,25,0,3000,1500,7,0,210,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
萨满僵尸10,ShamanZombie,26,0,25,0,3000,1500,7,0,210,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钻地僵尸2,DigOutZombie,24,0,25,0,3000,2000,7,0,200,True,True,False,False,,0,0,0,0,12,16,0,0,0,0,13,13,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钻地僵尸20,DigOutZombie,24,0,25,0,3000,2000,7,0,200,True,True,False,False,,0,0,0,0,12,16,0,0,0,0,13,13,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蹒跚僵尸3,ClZombie,25,0,12,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,8,17,0,0,0,0,13,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蹒跚僵尸30,ClZombie,25,0,12,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,8,17,0,0,0,0,13,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石肤僵尸4,NdZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石肤僵尸40,NdZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
爬行僵尸5,CrawlerZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
爬行僵尸50,CrawlerZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
尸王,Ghoul,0,0,50,5,2800,1500,7,0,1200,True,True,False,False,,3,3,3,3,18,38,0,0,0,0,15,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
尸王1,Ghoul,0,0,50,0,2000,600,7,0,1200,True,True,False,False,,100,100,0,0,0,60,0,0,0,0,20,17,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
尸王2,Ghoul,0,0,50,0,2800,1500,7,0,900,True,True,False,False,,3,3,3,3,18,28,0,0,0,0,15,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
尸王4,Ghoul,0,0,50,5,2800,1500,7,0,1200,True,True,False,False,,3,3,3,3,12,25,0,0,0,0,15,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
僵尸神父,DigOutZombie,24,0,25,0,3000,2000,7,0,200,True,True,False,False,,0,0,0,0,12,16,0,0,0,0,13,13,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
僵尸神父0,DigOutZombie,24,0,25,0,3000,2000,7,0,200,True,True,False,False,,0,0,0,0,12,16,0,0,0,0,13,13,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蹒跚僵尸,ClZombie,25,0,12,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,8,17,0,0,0,0,13,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蹒跚僵尸0,ClZombie,25,0,12,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,8,17,0,0,0,0,13,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石肤僵尸,NdZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
石肤僵尸0,NdZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
爬行僵尸,CrawlerZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
爬行僵尸0,CrawlerZombie,25,0,25,0,3000,2000,7,0,200,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
萨满僵尸,ShamanZombie,26,0,25,0,3000,1500,7,0,210,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
萨满僵尸0,ShamanZombie,26,0,25,0,3000,1500,7,0,210,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
暗之石肤僵尸,NdZombie,25,0,25,0,3000,2000,7,0,500,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
暗之萨满僵尸,ShamanZombie,26,0,25,0,3000,1500,7,0,500,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
僵尸51,ShamanZombie,26,0,25,0,3000,1500,7,0,500,True,True,False,False,,2,2,1,1,6,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
变异尸王,Ghoul,0,0,50,5,2800,1500,7,0,1200,True,True,False,False,,3,3,3,3,12,28,0,0,0,0,15,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
白蛇,GiantWhiteSnake,0,0,50,0,1900,1700,7,0,360,True,True,False,False,,10,10,15,15,15,35,0,0,0,0,16,16,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
尸王10,Ghoul,0,0,50,0,2000,600,7,0,115,False,True,False,False,,100,100,0,0,0,60,0,0,0,0,20,17,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
碧蓝幼蛇,BlueSnake,0,0,55,0,1700,1700,7,0,5400,True,True,False,True,,7,7,10,10,44,52,0,0,0,0,16,16,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
碧蓝幼蛇0,BlueSnake,0,0,55,0,1700,1700,7,0,5400,True,True,False,True,,7,7,10,10,44,52,0,0,0,0,16,16,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黄金幼蛇,YellowSnake,0,0,55,0,1700,1700,7,0,5600,True,True,False,True,,11,11,15,15,40,55,0,0,0,0,16,16,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黄金幼蛇0,YellowSnake,0,0,55,0,1700,1700,7,0,5600,True,True,False,True,,11,11,15,15,40,55,0,0,0,0,16,16,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蛇王护卫,GiantWhiteSnake,0,0,55,0,1900,1700,7,0,12000,False,True,False,False,,10,10,15,15,15,45,0,0,0,0,16,16,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
浮龙金蛇,Yimoogi,36,0,70,10,1900,1700,7,100,20000,False,True,False,False,,40,40,45,45,70,130,0,0,0,0,35,25,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
宝箱,Treasurebox,3,0,60,0,1000,1500,7,0,0,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
恶魔弓箭手,ZumaArcher,8,0,40,0,2000,1000,7,0,3400,True,True,False,False,,12,12,18,18,24,40,0,0,0,0,15,15,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
恶魔雕像,ZumaStatue,15,0,50,0,2000,1000,7,0,3600,True,True,False,False,,15,15,15,15,28,55,0,0,0,0,17,15,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
恶魔卫士,ZumaGuardian,15,0,50,0,2000,1000,7,0,4000,True,True,False,False,,15,15,18,18,36,60,0,0,0,0,17,15,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
恶魔蜘蛛,CrystalSpider,0,0,65,0,2000,1000,7,0,4500,True,True,False,False,,12,12,15,15,25,50,0,0,0,0,17,15,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
恶魔猪王,KingHog,0,0,65,0,2000,1000,7,100,10000,True,True,False,False,,12,12,15,15,25,50,0,0,0,0,25,17,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黑色恶蛆,BlackMaggot,0,0,28,0,1500,500,7,0,250,True,True,False,True,,5,5,0,0,10,15,0,0,0,0,13,15,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黑色恶蛆0,BlackMaggot,0,0,28,0,1500,500,7,0,250,True,True,False,True,,5,5,0,0,10,15,0,0,0,0,13,15,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蜈蚣,Centipede,0,0,26,0,2000,1500,7,0,310,True,True,False,True,,0,0,5,5,12,18,0,0,0,0,13,15,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蜈蚣0,Centipede,0,0,26,0,2000,1500,7,0,310,True,True,False,True,,0,0,5,5,12,18,0,0,0,0,13,15,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
巨型蠕虫,GiantWorm,0,0,26,0,2000,1200,7,0,310,True,True,False,False,,3,3,3,3,15,18,0,0,0,0,13,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
巨型蠕虫0,GiantWorm,0,0,26,0,2000,1200,7,0,310,True,True,False,False,,3,3,3,3,15,18,0,0,0,0,13,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
跳跳蜂,WhimperingBee,0,0,26,0,2000,1500,7,0,275,True,True,False,False,,3,3,3,3,12,18,0,0,0,0,13,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
跳跳蜂0,WhimperingBee,0,0,26,0,2000,1500,7,0,275,True,True,False,False,,3,3,3,3,12,18,0,0,0,0,13,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钳虫,Tongs,0,0,31,0,1800,1500,7,0,340,True,True,False,True,,5,5,7,7,15,25,0,0,0,0,13,15,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钳虫0,Tongs,0,0,31,0,1800,1500,7,0,340,True,True,False,True,,5,5,7,7,15,25,0,0,0,0,13,15,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
邪恶钳虫,EvilTongs,0,0,60,5,1800,700,7,0,3600,True,True,False,False,,20,20,10,10,22,50,0,0,0,0,17,15,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
邪恶钳虫1,EvilTongs,0,0,60,0,2500,600,7,0,115,False,True,False,False,,20,20,20,20,0,50,0,0,0,0,20,17,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
